anieli;M
anker;M
annan;M
annas;M
anne-marie;N
ansel;M
ansell;M
anselm;M
anselmo;M
ansgar;M
ansley;N
anson;M
anssi;M
anstice;N
ante;M
antek;M
antero;M
anthony;M
antin;M
antinko;M
antiochus;M
anto;M
antoine;M
anton;M
antone;M
antonello;M
antoni;M
antonin;M
antonino;M
antonio;M
antonios;M
antonius;M
antons;M
antony;M
antonákis;M
antosha;M
antti;M
antwan;M
antónios;M
antónis;M
anwar;M
anwell;M
anwyl;M
any;M
anyon;M
anárgiros;M
anéstis;M
apoll;M
apostolos;M
apostólis;M
apóllon;M
apóstolos;M
aquilao;M
ara;N
aragon;M
araldo;M
aram;M
aramil;M
aras;M
arash;M
arben;M
arbogast;M
arcangelo;M
arch;M
archaimbaud;M
archambault;M
archelaos;M
archer;M
archibald;M
archibaldo;M
archibold;M
archie;M
archondís;M
archy;M
arda;N
ardian;M
ardon;M
ardor;M
arduin;M
arduino;M
are;M
arel;M
areli;M
aren;M
arend;M
arendt;M
ares;M
argelion;M
argus;M
argírios;M
argíris;M
arhippa;M
arho;M
ari;M
arian;M
aribert;M
aricin;M
aridai;M
arie;M
arieh;M
ariel;N
ariele;M
arif;M
arik;M
arin;M
ario;M
arion;M
aristarch;M
aristid;M
aristo;M
aristofánis;M
aristogénis;M
aristoménis;M
aristophanes;M
aristoteles;M
aristotle;M
aristotélis;M
aristídis;M
aristódimos;M
arjen;M
arjun;M
arkadius;M
arkin;M
arlan;M
arlen;N
arley;M
arlin;M
arman;M
armand;M
armando;M
armas;M
armin;M
armon;M
armstrong;M
armándos;M
arn;M
arnaldo;M
arnault;M
arnd;M
arndt;M
arne;M
arney;M
arnfried;M
arni;M
arnie;M
arnim;M
arno;M
arnold;M
arnoldo;M
arnolt;M
arnon;M
arnoud;M
arnuad;M
arnulf;M
arny;M
aroldo;M
aron;M
arpad;M
arpiar;M
arri;M
arrigo;M
arron;M
arsenio;M
arsénis;M
art;M
artair;M
arte;M
artemas;M
artemis;N
artemus;M
arther;M
arthon;M
arthur;M
artie;M
arto;M
arttu;M
artturi;M
artur;M
arturas;M
arturo;M
artus;M
arty;M
artémios;M
arv;M
arvid;M
arvie;M
arvin;M
arvo;M
arvy;M
aryan;M
arístarchos;M
arístos;M
asa;N
asaf;M
asaph;M
asbjörn;M
ase;M
ash;M
ashbey;M
ashby;M
asher;M
ashford;M
ashley;N
ashlin;M
ashon;M
ashton;M
ashur;M
asimákis;M
askan;M
asklepios/äskulap;M
asklipiós;M
asko;M
aslan;M
asmund;M
asterix;M
astiánax;M
astrís;M
astyanax;M
astérios;M
astéris;M
asur;M
ata;M
atakan;M
atanur;M
athan;M
athanasios;M
athanasius;M
athanásios;M
atheron;M
athinagóras;M
athinódoros;M
atlas;M
atman;M
atso;M
atte;M
attila;M
attilo;M
attis;M
aube;M
auberon;M
aubert;M
aubrey;N
aubry;N
audric;M
audun;M
augie;M
august;M
auguste;N
augustin;M
augustine;N
augusto;M
augustus;M
augy;M
aukusti;M
aulis;M
aurek;M
aurel;N
aurelien;M
aurelio;M
aurelius;M
aurthur;M
aurèle;M
austen;M
austin;N
austyn;M
ave;M
avel;M
averell;M
averil;N
averill;M
avery;N
avgerinós;M
avgerís;M
avgoustos;M
avgoustínos;M
avgoustís;M
avi;M
avictor;M
avidan;M
avigdor;M
avram;M
avraám;M
avrom;M
ax;M
axe;M
axel;M
aydan;M
ayden;M
aydin;M
ayko;M
aylmar;M
aylmer;M
aymer;M
ayold;M
aytaç;M
aytekin;M
azad;M
azarel;M
azariah;M
azaziah;M
azel;M
aziz;M
azrael;M
azzo;M
bacchus;M
bado;M
baghira;M
bahadir;M
bahattin;M
bahri;M
bail;M
bailey;N
bailie;M
baillie;M
baily;M
baird;M
balbo;M
bald;M
baldassare;M
baldassarre;M
baldovino;M
baldrick;M
balduin;M
baldur;M
baldwin;M
bale;M
balendin;M
balian;M
balin;M
balint;M
baltasar;M
balte;M
balthasar;M
balthazar;M
baltram;M
balu;M
ban;M
bancroft;M
bank;M
banky;M
banning;M
baptist;M
baptiste;M
bar;M
barabas;M
barak;M
baran;M
barbabas;M
barbaros;M
barclay;M
barcley;M
bard;M
barde;M
bardo;M
baris;M
barn;M
barnabas;M
barnabe;M
barnaby;M
barnard;M
barnd;M
barnebas;M
barnett;M
barney;M
barnie;M
barny;M
baron;M
barr;M
barret;M
barrett;M
barri;M
barrie;N
barris;M
barromeo;M
barron;M
barry;N
bart;M
bartel;M
barth;M
barthasar;M
barthel;M
barthold;M
bartholemy;M
bartholomeo;M
bartholomeus;M
bartholomew;M
bartholomäus;M
bartie;M
bartlet;M
bartlett;M
bartolemo;M
bartolomeo;M
bartolomé;M
barton;M
bartram;M
barty;M
baruch;M
bary;M
baryram;M
baschir;M
base;M
basil;M
basile;M
basilio;M
basilius;M
basko;M
bassam;M
bastiaan;M
bastian;M
bastien;M
bat;M
batholomew;M
battista;M
batuhan;M
baudoin;M
bavol;M
bax;M
baxie;M
baxter;M
baxy;M
bay;M
bayani;M
bayard;M
baylor;M
bayram;M
beacan;M
beagan;M
beale;M
bealle;M
beaman;M
bear;M
bearnard;M
beat;M
beath;M
beatus;M
beau;M
beaufort;M
beauregard;M
becan;M
beck;M
beelzebub;M
bekir;M
bela;N
beldon;M
belen;N
belmin;M
belsazar;M
beltrame;M
beltran;M
beltrán;M
bem;M
bemus;M
ben;M
ben-joshua;M
benaiah;M
bendick;M
bendicty;M
bendix;M
benedetto;M
benedick;M
benedict;M
benedicto;M
benedikt;M
bengt;M
beniamino;M
benigno;M
benito;M
benjamen;M
benjamin;M
benji;M
benjie;M
benjiro;M
benjy;M
benn;M
bennet;M
bennett;M
bennie;N
benno;M
benny;N
benoit;M
benoît;M
benson;M
bent;M
bentlee;M
bentley;M
benton;M
benvenuto;M
benyamin;M
beowulf;M
beppe;M
beppo;M
ber;M
berat;M
berend;M
berengar;M
berk;M
berkay;M
berke;M
berkel;M
berkeley;M
berker;M
berki;M
berkie;M
berkley;M
berkly;M
berky;M
bern;M
bernadino;M
bernard;M
bernardo;M
bernarr;M
bernd;M
bernd-dieter;M
bernd-michael;M
berndt;M
berne;M
bernfried;M
bernhard;M
bernhelm;M
bernie;N
bernt;M
bernward;M
berny;N
bero;M
bersh;M
bert;N
berthold;M
berti;N
bertie;N
bertil;M
bertilo;M
bertold;M
bertoldo;M
bertolt;M
berton;M
bertram;M
bertrame;M
bertrand;M
bertrando;M
bertwin;M
berty;N
beryl;N
besart;M
bethuel;M
bettino;M
bev;N
beval;M
bevan;M
bevin;N
bevis;M
bevon;M
biaggio;M
biagino;M
biagio;M
bibieno;M
bil;M
bilal;M
bill;N
billie;N
billy;N
bing;M
bink;M
binky;M
binsbart;M
birch;M
birger;M
birk;M
birol;M
biron;M
bjarne;M
bjorn;M
björn;M
blade;M
blaine;M
blair;N
blaise;M
blake;N
blane;M
blasius;M
blayne;M
blaze;M
bo;M
boas;M
boaz;M
bob;M
bob-marvin;M
bobbie;N
bobby;N
bodo;M
bogart;M
bogdan;M
bogdashha;M
bogey;M
bogumil;M
bohdan;M
boigie;M
bojan;M
boje;M
bolko;M
bolodenka;M
bolton;M
bonar;M
bonaventura;M
bond;M
bondie;M
bondon;M
bondy;M
bone;M
boniface;M
bonifacio;M
bonifatius;M
bonifaz;M
booker;M
boone;M
boonie;M
boony;M
boot;M
boote;M
booth;M
boothe;M
bora;M
borchard;M
bord;M
borden;M
bordie;M
bordy;M
borg;M
boris;M
bork;M
borkfried;M
boromil;M
borromeo;M
borya;M
boryenka;M
bosco;M
bosper;M
bosse;M
botan;M
bourke;M
bowes;M
bowie;M
boy;M
boyce;M
boycey;M
